"lock_id","source_text","category","match_type","scope","reason","source_files","notes"
"D001","湖南伊鸿健康科技有限公司","company_name","exact","all","Legal entity name should not be freely translated.","EHBT-50 manual; EHBT-75 manual","If localization is required, use only the officially approved legal name."
"D002","Hunan Ehome Health Technology Co., Ltd.","company_name","exact","all","Official English legal name should stay fixed.","QC IFU; glossary.ts","Use as approved form when foreign-language docs require Latin-script legal name."
"D003","Riomavix S.L.","company_name","exact","all","EU authorized representative legal name should stay fixed.","QC IFU","Do not paraphrase."
"D004","EHBT-50","model","exact","all","Product model identifier.","EHBT-50 manual; QC IFU","Never translate or reformat."
"D005","EHBT-75","model","exact","all","Product model identifier.","EHBT-75 manual; QC IFU","Never translate or reformat."
"D006","YH-QC500","model","exact","all","Control-material model identifier.","QC IFU","Never translate or reformat."
"D007","EH-BUS","interface_token","exact","all","Brand/interface token.","EHBT-75 manual","Keep original casing and hyphen."
"D008","RJ45","interface_token","exact","all","Standard hardware connector token.","EHBT-50 manual; EHBT-75 manual","Keep original casing."
"D009","USB","interface_token","exact","all","Standard interface abbreviation.","manuals","Keep original casing."
"D010","DC","interface_token","exact","all","Standard power abbreviation.","manuals","Keep original casing."
"D011","SN","regulatory_abbr","exact","all","Regulatory abbreviation.","manuals","Translate surrounding label only."
"D012","REF","regulatory_abbr","exact","all","Regulatory abbreviation.","QC IFU","Translate surrounding label only."
"D013","LOT","regulatory_abbr","exact","all","Regulatory abbreviation.","QC IFU","Translate surrounding label only."
"D014","IVD","regulatory_abbr","exact","all","Regulatory abbreviation.","manuals; QC IFU","Translate surrounding label only."
"D015","CE","regulatory_abbr","exact","all","Compliance mark token.","QC IFU","Do not expand or localize."
"D016","QC","lab_abbr","exact","all","Quality-control abbreviation.","manuals; QC IFU","Translate surrounding phrase if needed, but keep QC."
"D017","CBC","lab_abbr","exact","all","International hematology abbreviation.","AI reports","Translate full term if needed, keep CBC unchanged."
"D018","WBC","lab_abbr","exact","all","International hematology abbreviation.","AI reports","Keep unchanged."
"D019","RBC","lab_abbr","exact","all","International hematology abbreviation.","AI reports","Keep unchanged."
"D020","HGB","lab_abbr","exact","all","International hematology abbreviation.","AI reports","Keep unchanged."
"D021","HCT","lab_abbr","exact","all","International hematology abbreviation.","AI reports","Keep unchanged."
"D022","MCV","lab_abbr","exact","all","International hematology abbreviation.","AI reports","Keep unchanged."
"D023","MCH","lab_abbr","exact","all","International hematology abbreviation.","AI reports","Keep unchanged."
"D024","MCHC","lab_abbr","exact","all","International hematology abbreviation.","AI reports","Keep unchanged."
"D025","PLT","lab_abbr","exact","all","International hematology abbreviation.","AI reports","Keep unchanged."
"D026","RET%","lab_abbr","exact","all","International hematology abbreviation.","AI reports","Keep unchanged."
"D027","ALY#","lab_abbr","exact","all","Analyzer-specific parameter abbreviation.","AI reports","Keep unchanged."
"D028","NEU#","lab_abbr","exact","all","Analyzer-specific parameter abbreviation.","AI reports","Keep unchanged."
"D029","LYM#","lab_abbr","exact","all","Analyzer-specific parameter abbreviation.","AI reports","Keep unchanged."
"D030","MON#","lab_abbr","exact","all","Analyzer-specific parameter abbreviation.","AI reports","Keep unchanged."
"D031","EOS#","lab_abbr","exact","all","Analyzer-specific parameter abbreviation.","AI reports","Keep unchanged."
"D032","BAS#","lab_abbr","exact","all","Analyzer-specific parameter abbreviation.","AI reports","Keep unchanged."
"D033","ETG#","lab_abbr","exact","all","Analyzer-specific parameter abbreviation.","BA512 veterinary AI reports","Keep unchanged."
"D034","SPH#","lab_abbr","exact","all","Analyzer-specific parameter abbreviation.","BA512 veterinary AI reports","Keep unchanged."
"D035","AWBC","lab_abbr","exact","all","Project/report-specific parameter abbreviation.","BA212 AWBC/SRBC reports","Keep unchanged."
"D036","SRBC","lab_abbr","exact","all","Project/report-specific parameter abbreviation.","BA212 AWBC/SRBC reports","Keep unchanged."
"D037","EDTA-K2","reagent_abbr","exact","all","Standard reagent/anticoagulant token.","QC IFU","Keep hyphen and casing."
"D038","HBsAg","marker_abbr","exact","all","Serological marker abbreviation.","QC IFU","Keep unchanged."
"D039","HIV-1/HIV-2","marker_abbr","exact","all","Standard infectious-marker token.","QC IFU","Keep unchanged."
"D040","HCV","marker_abbr","exact","all","Serological marker abbreviation.","QC IFU","Keep unchanged."
"D041","LIS","informatics_abbr","exact","all","Laboratory Information System abbreviation.","manuals; glossary.ts","Keep unchanged."
"D042","CRP","lab_abbr","exact","all","Inflammation marker abbreviation.","manual corpus","Keep unchanged."
"D043","SAA","lab_abbr","exact","all","Inflammation marker abbreviation.","manual corpus","Keep unchanged."
"D044","EMC","regulatory_abbr","exact","all","Electromagnetic compatibility abbreviation.","manual corpus","Keep unchanged."
"D045","IFU","regulatory_abbr","exact","all","Common regulated-device abbreviation.","manual/QC workflow","Keep unchanged if already present in source or approved output."
"D046","NEU","lab_abbr","exact","all","Short-form neutrophil abbreviation used in BA512/AI reports.","BA512 veterinary AI reports","Keep unchanged."
"D047","LYM","lab_abbr","exact","all","Short-form lymphocyte abbreviation used in BA512/AI reports.","BA512 veterinary AI reports","Keep unchanged."
"D048","MON","lab_abbr","exact","all","Short-form monocyte abbreviation used in BA512/AI reports.","BA512 veterinary AI reports","Keep unchanged."
"D049","BA212","model","exact","all","Product family/model token used in reports and manuals.","BA212 reports/manuals","Keep unchanged."
"D050","BA512","model","exact","all","Product family/model token used in veterinary AI reports.","BA512 veterinary AI reports","Keep unchanged."
