"term_id","domain","term_type","zh_source","en_draft","es_draft","fr_draft","de_draft","it_draft","pt_draft","ru_draft","tr_draft","source_files","status","notes"
"G001","manual","device","多功能样本分析仪","Multi-functional Sample Analyzer","Analizador multifuncional de muestras","Analyseur multifonction d'echantillons","Multifunktionaler Probenanalysator","Analizzatore multifunzionale per campioni","Analisador multifuncional de amostras","Многофункциональный анализатор образцов","Cok islevli numune analizoru","EHBT-50 manual","draft_for_review","From BA212 manual title."
"G002","manual","device","全自动血液分析仪","Automated Hematology Analyzer","Analizador hematologico automatizado","Analyseur hematologique automatise","Automatisierter Hamatologie-Analysator","Analizzatore ematologico automatizzato","Analisador hematologico automatizado","Автоматический гематологический анализатор","Otomatik hematoloji analizoru","EHBT-75 manual; QC IFU","draft_for_review","Already aligned with current project glossary."
"G003","manual","qc_material","血细胞分析仪用质控物","Hematology Analyzer Control Material","Material de control para analizadores hematologicos","Materiau de controle pour analyseurs d'hematologie","Kontrollmaterial fur Hamatologie-Analysatoren","Materiale di controllo per analizzatori ematologici","Material de controle para analisadores hematologicos","Контрольный материал для гематологических анализаторов","Hematoloji analizorleri icin kontrol materyali","QC IFU","draft_for_review","Use reviewer to confirm if local market prefers 'control kit' or 'control material'."
"G004","manual","document_label","使用说明书","Instructions for Use (IFU)","Instrucciones de uso","Notice d'utilisation","Gebrauchsanweisung","Istruzioni per l'uso","Instrucoes de uso","Инструкция по применению","Kullanim talimati","EHBT-50 manual; EHBT-75 manual","draft_for_review","Prefer regulated-device wording."
"G005","manual","regulatory","体外诊断设备","In Vitro Diagnostic (IVD) Device","Dispositivo de diagnostico in vitro (IVD)","Dispositif medical de diagnostic in vitro (DIV)","In-vitro-Diagnostikum (IVD)","Dispositivo diagnostico in vitro (IVD)","Dispositivo para diagnostico in vitro (IVD)","Изделие для диагностики in vitro (IVD)","In vitro tanisal cihaz (IVD)","EHBT-50 manual; EHBT-75 manual","draft_for_review","Regulatory wording may need market-specific adjustment."
"G006","manual","identifier_label","分析仪序列号","Analyzer Serial Number","Numero de serie del analizador","Numero de serie de l'analyseur","Seriennummer des Analysators","Numero di serie dell'analizzatore","Numero de serie do analisador","Серийный номер анализатора","Analizor seri numarasi","EHBT-50 manual; EHBT-75 manual","draft_for_review","Label translation only; abbreviation SN stays locked in do_not_translate."
"G007","manual","regulatory","制造商","Manufacturer","Fabricante","Fabricant","Hersteller","Fabbricante","Fabricante","Производитель","Uretici","EHBT-50 manual; EHBT-75 manual; QC IFU","draft_for_review","Common regulatory label."
"G008","manual","safety","生物危害","Biohazard","Riesgo biologico","Risque biologique","Biogefahr","Rischio biologico","Risco biologico","Биологическая опасность","Biyolojik tehlike","EHBT-50 manual; EHBT-75 manual; QC IFU","draft_for_review","Safety symbol label."
"G009","manual","safety","警告","Warning","Advertencia","Avertissement","Warnung","Avvertenza","Advertencia","Предупреждение","Uyari","EHBT-50 manual; EHBT-75 manual; QC IFU","draft_for_review","Safety heading."
"G010","manual","interface","DC电源接口","DC Power Port","Puerto de alimentacion de CC","Port d'alimentation CC","DC-Stromanschluss","Porta di alimentazione CC","Porta de alimentacao CC","Разъем питания DC","DC guc girisi","EHBT-50 manual","draft_for_review","Keep DC abbreviation unchanged."
